candidate,period,scenario,net_usd,account_return_pct,drawdown_usd,intraday_low_drawdown_usd,closed_episodes,fees_usd
sma_eth-080,recent_2026,delay,80.89024698937101,0.8089024698937131,233.33491966202018,264.64559768041,4,63.8977126238272
sma_eth-080,recent_2026,combined,58.825682438915464,0.588256824389144,253.23412342810298,273.85583880814556,4,79.59481380468401
sma_eth-090,development,base,-64.54132262587336,-0.6454132262587287,244.30293902020094,291.09035663868235,3,47.181115847972
sma_eth-090,development,cost,-80.27005827046378,-0.8027005827046407,242.7393137225754,289.2266649551075,3,58.78817824956301
sma_eth-090,development,delay,-170.01427005410733,-1.700142700541074,272.98991208997904,315.40166817645877,3,46.35115137520881
sma_eth-090,development,combined,-185.06948757244936,-1.85069487572449,282.0084201441241,324.1483333344331,3,57.75525288095101
sma_eth-090,later_2025,base,461.5939696320256,4.615939696320259,386.61100107627135,466.42836447863556,2,35.724579835972804
sma_eth-090,later_2025,cost,448.3374545548668,4.483374545548657,389.91108477953276,469.3006775832091,2,44.53266120773401
sma_eth-090,later_2025,delay,511.871187483277,5.118711874832771,417.95777983662083,495.3549698950519,2,36.1300409250232
sma_eth-090,later_2025,combined,498.3410431832599,4.983410431832591,421.0893123521855,498.0716641820527,2,45.037747780340005
sma_eth-090,recent_2026,base,31.836015815410065,0.31836015815409624,269.46464332397227,325.840453612529,4,63.27940581109041
sma_eth-090,recent_2026,cost,10.115469772501456,0.1011546977250255,289.1177474751239,334.69244792307836,4,78.826072133601
sma_eth-090,recent_2026,delay,3.9730793358012306,0.0397307933580171,294.9783520819328,316.5995618313318,4,63.05864574759842
sma_eth-090,recent_2026,combined,-17.545962166694153,-0.17545962166694018,314.4489553958665,325.5049998409977,4,78.551626087096
momentum_btc-010,development,base,-144.6413241894752,-1.4464132418947506,276.2981891852978,281.8773532665782,11,172.83444203047202
momentum_btc-010,development,cost,-202.16309591385834,-2.0216309591385873,316.795902825781,322.3241693299806,11,214.89563696386006
momentum_btc-010,development,delay,17.77645062036754,0.17776450620368145,159.04816814172773,163.23177792184106,11,175.30574373363206
momentum_btc-010,development,combined,-41.78588328769001,-0.41785883287690506,187.6402571380895,194.19231823819973,11,218.20507751469006
momentum_btc-010,later_2025,base,-241.2040423692597,-2.4120404236925963,341.6922275213892,346.4504130077894,10,156.69039017826407
momentum_btc-010,later_2025,cost,-292.66678787223645,-2.9266678787223666,384.6323837793989,389.34146217891794,10,194.98224903224005
momentum_btc-010,later_2025,delay,-318.37987930477175,-3.1837987930477207,394.7382572127244,403.09358984197206,10,155.52702427476802
momentum_btc-010,later_2025,combined,-368.9286016003389,-3.6892860160033902,439.4892729272178,447.75991667121707,10,193.46696099234003
momentum_btc-010,recent_2026,base,-285.65054545428575,-2.856505454542857,397.2234584832149,412.95401025460706,16,248.47783187928803
momentum_btc-010,recent_2026,cost,-367.66045304539875,-3.6766045304539863,462.4640835814389,483.15673543654884,16,308.5502260574
momentum_btc-010,recent_2026,delay,-132.3054568238913,-1.3230545682389128,222.1943193417792,238.18655671720444,16,253.848752411888
momentum_btc-010,recent_2026,combined,-216.50761683033124,-2.165076168303315,267.92936022478716,278.4451197306171,16,315.26014819733007
momentum_btc-015,development,base,4.9376476451834606,0.04937647645184562,200.99780384886435,212.23443186684926,7,110.98744327981602
momentum_btc-015,development,cost,-32.81935823549793,-0.3281935823549742,230.18309007671814,242.80388857559774,7,138.20541463350003
momentum_btc-015,development,delay,115.41233541056135,1.1541233541056073,158.7465184397588,171.79362537147063,7,112.44063710144
momentum_btc-015,development,combined,76.9058739432694,0.7690587394326931,179.02582874620748,191.96850378292766,7,140.01202798173003
momentum_btc-015,later_2025,base,-325.1572271122277,-3.2515722711222717,401.5156050201804,413.01978566878824,8,123.67569604822401
momentum_btc-015,later_2025,cost,-365.23383103038395,-3.6523383103038376,435.7945023572629,447.1956270891824,8,153.91462533438002
momentum_btc-015,later_2025,delay,-305.5492051316505,-3.0554920513165107,411.49120966721966,431.709067749347,8,123.77526938364801
momentum_btc-015,later_2025,combined,-345.8325668358084,-3.4583256683580865,440.5744886496068,465.80506302480717,8,154.05211517681
momentum_btc-015,recent_2026,base,-138.31736835988704,-1.3831736835988706,327.1342806358243,334.4603301791194,10,156.60043022688802
momentum_btc-015,recent_2026,cost,-190.63562750935853,-1.9063562750935903,362.0065363638587,374.35604554930796,10,194.76558639336
momentum_btc-015,recent_2026,delay,-240.24053595171426,-2.4024053595171457,345.80936452328206,361.79354562171466,10,155.65503943271202
momentum_btc-015,recent_2026,combined,-291.5313263784501,-2.9153132637845025,385.6941126085094,406.72078429912835,10,193.59336578545003
momentum_btc-020,development,base,55.47157112527566,0.5547157112527623,183.46055764336052,189.32977566000045,8,128.10761709572
momentum_btc-020,development,cost,11.779444983070789,0.11779444983071041,198.4587968420292,204.2959141857791,8,159.59503565593002
momentum_btc-020,development,delay,12.317132260288417,0.12317132260288854,139.09600683051212,159.75158255846145,8,127.38351525071202
momentum_btc-020,development,combined,-30.954082930904406,-0.3095408293090407,155.58508409978276,177.0638757820434,8,158.6777932229
momentum_btc-020,later_2025,base,-337.12588356777815,-3.3712588356777817,413.4842614757308,422.7741397902264,8,123.811771956776
momentum_btc-020,later_2025,cost,-377.08086733072014,-3.770808673307202,447.6415386575991,456.8480431784392,8,154.08375598272
momentum_btc-020,later_2025,delay,-246.3563942347173,-2.463563942347169,339.8953519708157,353.60492078003153,8,124.95946763872001
momentum_btc-020,later_2025,combined,-287.14745221320845,-2.871474522132089,373.68530442375777,388.30302466989815,8,155.52411027221
momentum_btc-020,recent_2026,base,-132.61049440127317,-1.3261049440127293,257.2977705896956,264.37962405420694,10,156.86885502228
momentum_btc-020,recent_2026,cost,-184.9854232322068,-1.849854232322068,276.2176498782592,290.4369363535061,10,195.09769608521003
momentum_btc-020,recent_2026,delay,-250.97412387559416,-2.509741238755947,281.42900123042455,299.9997412182656,10,155.5037552006
momentum_btc-020,recent_2026,combined,-302.1542515975707,-3.021542515975706,326.9887900731701,345.37301734776884,10,193.40528038457
momentum_btc-030,development,base,4.456435114527267,0.04456435114528201,131.87789640073606,177.51084206297674,8,127.07250230747202
momentum_btc-030,development,cost,-38.584850552380885,-0.38584850552381145,154.37072060938044,187.22937126482066,8,158.11904125238004
momentum_btc-030,development,delay,-77.07217162776033,-0.7707217162776003,189.08670873854498,210.81287907940714,8,126.03576444476003
momentum_btc-030,development,combined,-119.37097984256798,-1.1937097984256795,230.37345888452728,251.90286829658726,8,156.83261401757005
momentum_btc-030,later_2025,base,-146.77820306319518,-1.4677820306319478,253.43017650436377,263.4306832633083,6,94.56646710620001
momentum_btc-030,later_2025,cost,-177.88527383161454,-1.77885273831615,278.5769461570544,288.49778701929426,6,117.77252365861
momentum_btc-030,later_2025,delay,-88.1755583278391,-0.8817555832783874,212.5091212399675,255.61444069102436,6,95.19901573684001
momentum_btc-030,later_2025,combined,-119.74440459723155,-1.197444045972318,238.01863839084035,270.2332651258894,6,118.56356706822999
momentum_btc-030,recent_2026,base,-338.32587300766136,-3.3832587300766104,390.9561100791816,406.7796491260615,16,247.25117400366403
momentum_btc-030,recent_2026,cost,-419.6421840297571,-4.196421840297571,466.44322511009705,487.1924366289277,16,307.03194292375997
